id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,0,Ryder,C,RENT,2021-02-11,2021-09-13,2021-04-13,Charged Off,2021-05-13,1314167,Car,C4,60,Source Verified,30000.0,0.01,59.83,0.1527,2500.0,4,1009.0
1072053,CA,INDIVIDUAL,9,MKC Accounting,E,RENT,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1288686,Car,E1,36,Source Verified,48000.0,0.0535,109.43,0.1864,3000.0,4,3939.0
1069243,CA,INDIVIDUAL,4,Chemat Technology Inc,C,RENT,2021-01-05,2021-12-12,2021-01-09,Charged Off,2021-02-09,1304116,Car,C5,36,Not Verified,50000.0,0.2088,421.65,0.1596,12000.0,11,3522.0
1041756,TX,INDIVIDUAL,0,barnes distribution,B,MORTGAGE,2021-02-25,2021-12-12,2021-03-12,Fully Paid,2021-04-12,1272024,Car,B2,60,Source Verified,42000.0,0.054,97.06,0.1065,4500.0,9,4911.0
1068350,IL,INDIVIDUAL,10,J&J Steel Inc,A,MORTGAGE,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1302971,Car,A1,36,Verified,83000.0,0.0231,106.53,0.0603,3500.0,28,3835.0
1062608,CA,INDIVIDUAL,3,Studio 94 Corp,C,RENT,2021-07-17,2021-03-16,2021-08-12,Fully Paid,2021-09-12,1294481,Car,C3,36,Not Verified,28000.0,0.126,275.96,0.1465,8000.0,11,8637.0
1067441,TX,INDIVIDUAL,10,American Airlines,C,MORTGAGE,2021-11-19,2021-06-14,2021-12-13,Fully Paid,2022-01-13,1301833,Car,C2,36,Verified,94800.0,0.2453,205.86,0.1427,6000.0,30,7218.0
1066424,PA,INDIVIDUAL,10,SCI Mahanoy,A,OWN,2021-06-11,2021-07-14,2021-07-14,Fully Paid,2021-08-14,1291243,Car,A4,36,Source Verified,59000.0,0.0665,172.1,0.079,5500.0,23,6172.0
1065254,FL,INDIVIDUAL,10,Tech Data Corp,A,MORTGAGE,2021-09-02,2021-06-15,2021-10-12,Charged Off,2021-11-12,1299335,Car,A5,36,Verified,116400.0,0.0394,762.08,0.089,24000.0,31,8650.0
1064589,MI,INDIVIDUAL,10,teltow contracting,B,MORTGAGE,2021-02-09,2021-03-16,2021-03-16,Fully Paid,2021-04-16,1298401,Car,B5,60,Not Verified,36000.0,0.1773,93.21,0.1269,4125.0,21,5551.0
1057766,TX,INDIVIDUAL,10,Ericsson,B,MORTGAGE,2021-07-22,2021-09-13,2021-08-13,Fully Paid,2021-09-13,1289131,Car,B5,36,Not Verified,75000.0,0.088,181.15,0.1269,5400.0,33,6277.0
1062734,CA,INDIVIDUAL,3,myrvpartsplace.com,B,RENT,2021-09-11,2021-03-13,2021-10-12,Charged Off,2021-11-12,1295018,Car,B4,36,Not Verified,75000.0,0.2288,374.26,0.1242,11200.0,13,4225.0
1062654,CA,INDIVIDUAL,4,AEG LIVE,B,RENT,2021-08-11,2021-10-13,2021-09-13,Fully Paid,2021-10-13,1294929,Car,B3,36,Not Verified,35000.0,0.0401,165.38,0.1171,5000.0,3,5728.0
1020855,CA,INDIVIDUAL,5,henkel corporation,B,RENT,2021-12-11,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1249642,Car,B5,36,Not Verified,48000.0,0.1533,268.36,0.1269,8000.0,15,9661.0
1060945,IL,INDIVIDUAL,4,AXA Assistance,B,RENT,2021-10-11,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1293124,Car,B4,36,Not Verified,92000.0,0.106,200.5,0.1242,6000.0,18,7218.0
1060995,RI,INDIVIDUAL,0,HSA-UWC,B,RENT,2021-12-11,2021-02-14,2021-10-13,Charged Off,2021-11-13,1292578,Car,B4,36,Source Verified,60000.0,0.063,400.99,0.1242,12000.0,14,9547.0
1046507,TX,INDIVIDUAL,1,Child's Day,B,RENT,2021-12-02,2021-04-16,2021-12-14,Fully Paid,2022-01-14,1277552,Car,B1,36,Verified,16800.0,0.035,98.29,0.0991,3050.0,8,3538.0
1059936,NY,INDIVIDUAL,4,OEC Freight,C,RENT,2021-10-09,2021-09-15,2021-11-12,Fully Paid,2021-12-12,1291775,Car,C2,36,Source Verified,40000.0,0.1869,343.09,0.1427,10000.0,7,11156.0
1059497,FL,INDIVIDUAL,10,Sandestin Beach Hilton,B,MORTGAGE,2021-12-12,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1291322,Car,B2,36,Verified,35000.0,0.1392,162.87,0.1065,5000.0,23,5863.0
